IID,GEBV
1000363,-18.9022
1000364,-19.3914
1000365,-16.7844
1000366,-21.7615
1000367,-16.4618
1000368,-13.5731
1000369,-22.9483
1000370,-17.4387
1000371,-18.18
1000372,-13.5377
1000373,-12.9081
1000374,-14.7011
1000375,-17.6076
1000376,-20.6024
1000377,-12.4274
1000378,-20.5536
1000379,-24.5718
1000380,-22.8287
1000381,-14.094
1000382,-20.3594
1000383,-28.9279
1000384,-17.6806
1000385,-15.4494
1000386,-18.028
1000387,-17.9618
1000388,-11.0645
1000389,-13.6377
1000390,-17.0739
1000391,-16.1596
1000392,-19.3624
1000393,-21.7986
1000394,-13.6615
1000395,-21.0773
1000396,-11.8392
1000397,-16.1836
1000398,-8.98281
1000399,-21.9632
1000400,-20.1299
1000401,-9.7261
1000402,-6.09056
1000403,-12.3939
1000404,-20.0455
1000405,-14.3419
1000406,-10.4128
1000407,-18.3075
1000408,-21.4545
1000409,-3.02859
1000410,-17.4947
1000411,-14.9177
1000412,-11.1764
1000413,-12.4819
1000414,-25.0789
1000415,-9.17337
1000416,-22.6465
1000417,-25.7884
1000418,-13.4349
1000419,-6.88979
1000420,-14.8343
1000421,-21.425
1000422,-6.20464
1000423,-25.1508
1000424,-11.3332
1000425,-12.4761
1000426,-12.9478
1000427,-15.1849
1000428,-10.9207
1000429,-20.5745
1000430,-20.0941
1000431,-20.5712
1000432,-19.6495
1000433,-16.9686
1000434,-9.96175
1000435,-16.4537
1000436,-22.2946
1000437,-17.05
1000438,-19.4088
1000439,-18.0188
1000440,-22.3948
1000441,-9.51566
1000442,-18.5767
1000443,-17.079
1000444,-29.2879
1000445,-23.0072
1000446,-18.2111
1000447,-15.566
1000448,-22.5892
1000449,-24.1346
1000450,-5.67685
1000451,-20.4172
1000452,-14.2778
1000453,-25.048
1000454,-19.2451
1000455,-23.9069
1000456,-29.1519
1000457,-15.1982
1000458,-5.6658
1000459,-14.1335
1000460,-18.4989
1000461,1.20156
1000462,-23.3971
1000463,-17.7639
1000464,-11.7936
1000465,-16.1356
1000466,-21.4817
1000467,-12.7071
1000468,-10.2576
1000469,-23.672
1000470,-16.8584
1000471,-13.8449
1000472,-21.3088
1000473,-8.85564
1000474,-14.4958
1000475,-12.8934
1000476,-20.0228
1000477,-17.2523
1000478,-21.0637
1000479,-9.88442
1000480,-24.675
1000481,-22.5602
1000482,-22.1859
1000483,-21.2731
1000484,-19.2556
1000485,-11.7035
1000486,-20.6991
1000487,-14.4124
1000488,-27.953
1000489,-14.919
1000490,-18.5315
1000491,-9.33253
1000492,-16.3483
1000493,-22.3507
1000494,-16.0822
1000495,-23.2996
1000496,-19.6038
1000497,-16.9761
1000498,-15.7697
1000499,-21.9846
1000500,-15.5912
1000501,-18.4909
1000502,-9.67604
1000503,-16.3655
1000504,-19.3032
1000505,-17.0249
1000506,-15.0068
1000507,-19.478
1000508,-11.1959
1000509,-16.7113
1000510,-8.90635
1000511,-15.2208
1000512,-11.4328
1000513,-16.9495
1000514,-19.5646
1000515,-11.5563
1000516,-23.1146
1000517,-18.4932
1000518,-25.8187
1000519,-14.488
1000520,-20.0325
1000521,-11.963
1000522,-23.8596
1000523,-25.2841
1000524,-22.3395
1000525,-8.59466
1000526,-18.2411
1000527,-17.9022
1000528,-23.4128
1000529,-14.9209
1000530,-22.5802
1000531,-10.4917
1000532,-4.08189
1000533,-15.6016
1000534,-4.72191
1000535,-12.4939
1000536,-11.9152
1000537,-6.20542
1000538,-16.2904
1000539,-9.06146
1000540,-19.8661
1000541,-11.8701
1000542,-21.5732
1000543,-14.1429
1000544,-12.8161
1000545,-24.3504
1000546,-16.8932
1000547,-17.3898
1000548,-29.8295
1000549,-16.109
1000550,-32.0347
1000551,-16.2218
1000552,-23.5784
1000553,-16.6914
1000554,-17.1702
1000555,-20.0435
1000556,-13.7893
1000557,-17.9303
1000558,-20.6606
1000559,-12.302
1000560,-15.7064
1000561,-14.5353
1000562,-13.0141
1000563,-8.09368
1000564,-24.5562
1000565,-7.27418
1000566,-12.6863
1000567,-9.87277
1000568,-22.2175
1000569,-11.0041
1000570,-24.0495
1000571,-11.5548
1000572,-23.5498
1000573,-24.7718
1000574,-12.6518
1000575,-19.8737
1000576,-16.703
1000577,-8.68572
1000578,-23.0753
1000579,-24.575
1000580,-22.3021
1000581,-17.2838
1000582,-16.2333
1000583,-28.9182
1000584,-12.9533
1000585,-12.413
1000586,-17.9331
1000587,-28.9948
1000588,-8.17733
1000589,-14.7818
1000590,-13.3483
1000591,-16.2483
1000592,-14.7236
1000593,-29.9889
1000594,-13.0918
1000595,-22.5176
1000596,-17.0696
1000597,-13.2978
1000598,-22.3546
1000599,-13.4695
1000600,-12.5096
1000601,-19.1064
1000602,-23.1
1000603,-25.0822
1000604,-17.2833
1000605,-12.1666
1000606,-7.75631
1000607,-17.2277
1000608,-32.0084
1000609,-20.209
1000610,-17.4475
1000611,-22.2923
1000612,-27.4635
1000613,-27.8029
1000614,-19.3171
1000615,-23.5321
1000616,-17.1783
1000617,-16.1954
1000618,-8.85996
1000619,-15.3374
1000620,-19.904
1000621,-14.1089
1000622,-21.2924
1000623,-16.4255
1000624,-11.6079
1000625,-14.4292
1000626,-14.0278
1000627,-22.7973
1000628,-10.4672
1000629,-14.7714
1000630,-20.9483
1000631,-14.5809
1000632,-15.043
1000633,-16.6259
1000634,-24.5827
1000635,-15.6277
1000636,-20.9431
1000637,-25.4326
1000638,-4.5269
1000639,-19.655
1000640,-19.7198
1000641,-1.88645
1000642,-11.0858
1000643,-14.2966
1000644,-16.4036
1000645,-17.469
1000646,-20.8958
1000647,-23.1199
1000648,-21.2053
1000649,-22.0074
1000650,-18.641
1000651,-14.259
1000652,-14.9085
1000653,-25.7292
1000654,-9.2006
1000655,-22.6237
1000656,-11.4732
1000657,-14.2129
1000658,-18.8237
1000659,-9.85267
1000660,-21.2437
1000661,-18.8678
1000662,3.28661
1000663,-17.4032
1000664,-22.2186
1000665,-16.0545
1000666,-19.2716
1000667,-13.5376
1000668,-17.3252
1000669,-19.4609
1000670,-20.2486
1000671,-16.8996
1000672,-14.8626
1000673,-18.8365
1000674,-22.2726
1000675,-15.7729
1000676,-19.022
1000677,-10.7236
1000678,-31.4309
1000679,-16.8639
1000680,-18.9838
1000681,-14.0584
1000682,-22.4173
1000683,-12.5688
1000684,-14.0008
1000685,-23.4408
1000686,-13.304
1000687,-12.5465
1000688,-26.2052
1000689,-6.76141
1000690,-22.6755
1000691,-16.9351
1000692,-19.8337
1000693,-20.9444
1000694,-20.1212
1000695,-21.3722
1000696,-19.7314
1000697,-20.8937
1000698,-18.9644
1000699,-10.1172
1000700,-10.5911
1000701,-17.5839
1000702,-15.4325
1000703,-24.5108
1000704,-13.8023
1000705,-17.7776
1000706,-23.3205
1000707,-17.8937
1000708,-3.71813
1000709,-22.4041
1000710,-22.4799
1000711,-27.136
1000712,-9.46942
1000713,-21.4766
1000714,-21.3126
1000715,-5.53178
1000716,-18.3758
1000717,-15.3878
1000718,-21.5111
1000719,-11.3594
1000720,-8.15385
1000721,-14.2401
1000722,-21.1613
1000723,-20.7488
1000724,-25.4656
1000725,-17.6097
1000726,-20.8252
1000727,-3.13295
1000728,-9.98361
1000729,-24.5672
1000730,-23.4923
1000731,-8.77514
1000732,-14.0096
1000733,-19.2225
1000734,-13.5544
1000735,-14.4289
1000736,-13.0864
1000737,-14.717
1000738,-4.53389
1000739,-17.5621
1000740,-9.03047
1000741,-20.6711
1000742,-21.6373
1000743,-19.5556
1000744,-1.0247
1000745,-19.2432
1000746,-13.0807
1000747,-6.98662
1000748,-23.1657
1000749,-26.5072
1000750,-13.2005
1000751,-15.9631
1000752,-19.754
1000753,-14.8895
1000754,-18.2051
1000755,-17.012
1000756,-16.5097
1000757,-15.9896
1000758,-18.5806
1000759,-19.9603
1000760,-22.1631
1000761,-11.6725
1000762,-17.2002
1000763,-21.4286
1000764,-8.53651
1000765,-16.0577
1000766,-11.9857
1000767,-20.3738
1000768,-20.3503
1000769,-22.8487
1000770,-15.0972
1000771,-8.56561
1000772,-22.2582
1000773,-16.8882
1000774,-23.1356
1000775,-17.8828
1000776,-10.9709
1000777,-13.8765
1000778,-22.1237
1000779,-21.168
1000780,-13.3386
1000781,-10.9214
1000782,-10.4609
1000783,-14.5186
1000784,-13.8224
1000785,-20.516
1000786,-12.7622
1000787,-24.1412
1000788,-9.1071
1000789,-27.6891
1000790,-21.0908
1000791,-31.8245
1000792,-15.8964
1000793,-19.1095
1000794,-23.0661
1000795,-15.2828
1000796,-21.4477
1000797,-19.5243
1000798,-20.1605
1000799,-14.9415
1000800,-19.6308
1000801,-13.5155
1000802,-16.8664
1000803,-27.6023
1000804,-10.1044
1000805,-17.6497
1000806,-17.7585
1000807,-17.7157
1000808,-13.2606
1000809,-15.0917
1000810,-18.2144
1000811,-20.5852
1000812,-15.3253
1000813,-13.2426
1000814,-9.45943
1000815,-18.585
1000816,-15.2248
1000817,-22.2825
1000818,-21.8236
1000819,-11.9858
1000820,-1.04716
1000821,-18.285
1000822,-18.2135
1000823,-21.7422
1000824,-21.2211
1000825,-16.754
1000826,-8.56137
1000827,-7.11114
1000828,-19.5821
1000829,-18.1121
1000830,-15.5636
1000831,-13.6013
1000832,-14.3497
1000833,-13.2081
1000834,-25.988
1000835,-16.9206
1000836,-9.36439
1000837,-21.8458
1000838,-13.5226
1000839,-10.9811
1000840,-18.1168
1000841,-17.0077
1000842,-10.6208
1000843,-12.2449
1000844,-19.0007
1000845,-17.0062
1000846,-19.9296
1000847,-21.435
1000848,-15.2505
1000849,-10.6768
1000850,-11.196
1000851,-15.5196
1000852,-15.7087
1000853,-22.1458
1000854,-19.1775
1000855,-18.2159
1000856,-16.9953
1000857,-18.9115
1000858,-27.5641
1000859,-30.9953
1000860,-18.9948
1000861,-21.3242
1000862,-23.1121
1000863,-15.6627
1000864,-19.8098
1000865,-19.603
1000866,-25.4863
1000867,-20.0415
1000868,-15.4558
1000869,-12.7755
1000870,-19.599
1000871,-5.88415
1000872,-20.4745
1000873,-8.52475
1000874,-14.2963
1000875,-22.7582
1000876,-17.3709
1000877,-23.4596
1000878,-16.6164
1000879,-20.1005
1000880,-21.4369
1000881,-20.7653
1000882,-9.59868
1000883,-8.08664
1000884,-24.5593
1000885,-21.7576
1000886,-11.9306
1000887,-20.5155
1000888,-11.8406
1000889,-13.9154
1000890,-19.5807
1000891,-21.0469
1000892,-9.57171
1000893,-21.001
1000894,-16.8558
1000895,-23.5731
1000896,-21.5374
1000897,-27.0737
1000898,-20.244
1000899,-10.3798
1000900,-23.0175
1000901,-18.5829
1000902,-19.7032
1000903,-14.0931
1000904,-13.1486
1000905,-15.5376
1000906,-16.2618
1000907,-22.7583
1000908,-17.8057
1000909,-11.5998
1000910,-24.5475
1000911,-14.0717
1000912,-18.4248
1000913,-23.8307
1000914,-24.9061
1000915,-17.6456
1000916,-21.4404
1000917,-18.6615
1000918,-19.7426
1000919,-12.1582
1000920,-23.5735
1000921,-21.453
1000922,-19.9006
1000923,-22.9857
1000924,-25.4697
1000925,-12.5895
1000926,-14.4832
1000927,-13.1032
1000928,-18.1257
1000929,-19.557
1000930,-14.4839
1000931,-13.2388
1000932,-22.4918
1000933,-20.2087
1000934,-6.24609
1000935,-26.3692
1000936,-14.7761
1000937,-22.6352
1000938,-14.2117
1000939,-8.22156
1000940,-6.35987
1000941,-22.1933
1000942,-5.57463
1000943,-18.4992
1000944,-18.5599
1000945,-18.6585
1000946,-16.9722
1000947,-10.518
1000948,-20.5558
1000949,-14.1149
1000950,-12.0558
1000951,-13.7091
1000952,-16.47
1000953,-18.1959
1000954,-13.499
1000955,-23.4408
1000956,-10.2328
1000957,-17.9758
1000958,-8.55803
1000959,-27.8758
1000960,-7.51879
1000961,-10.1381
1000962,-24.2658
1000963,-11.4113
1000964,-12.4747
1000965,-13.9799
1000966,-9.27839
1000967,-9.37257
1000968,-27.4851
1000969,-20.2875
1000970,-16.1918
1000971,-18.0478
1000972,-16.0569
1000973,-15.768
1000974,-14.8829
1000975,-17.3446
1000976,-17.4284
1000977,-22.4551
1000978,-12.9568
1000979,-24.5854
1000980,-22.7495
1000981,-19.1757
1000982,-19.0897
1000983,-15.2145
1000984,-11.148
1000985,-9.03694
1000986,-17.1862
1000987,-24.4384
1000988,-19.9407
1000989,-11.9269
1000990,-20.4566
1000991,-22.9209
1000992,-23.1738
1000993,-27.9593
1000994,-24.0596
1000995,-19.9578
1000996,-28.3455
1000997,-18.8953
1000998,-11.2493
1000999,-9.53805
1001000,-18.8198
1001001,-17.5919
1001002,-17.2797
1001003,-15.0021
1001004,-10.4069
1001005,-12.4762
1001006,-14.8568
1001007,-21.5802
1001008,-5.76465
1001009,-11.2826
1001010,-28.9202
1001011,-17.8382
1001012,-17.3365
1001013,-16.4698
1001014,-21.2379
1001015,-18.615
1001016,-30.2759
1001017,-17.9516
1001018,-9.43247
1001019,-12.4031
1001020,-23.3814
1001021,-17.1217
1001022,-15.2314
1001023,-4.10785
1001024,-20.5404
1001025,-10.9932
1001026,-16.0538
1001027,-11.7759
1001028,-23.3094
1001029,-21.3796
1001030,-18.6019
1001031,-26.1956
1001032,-17.9808
1001033,-21.2978
1001034,-19.872
1001035,-10.4175
1001036,-12.2731
1001037,-17.7428
1001038,-10.9571
1001039,-4.24702
1001040,-18.6574
1001041,-16.2272
1001042,-10.0591
1001043,-19.1764
1001044,-24.1812
1001045,-14.8444
1001046,-17.083
1001047,-15.1889
1001048,-15.9013
1001049,-16.1068
1001050,-27.0991
1001051,-17.0371
1001052,-17.6982
1001053,-17.543
1001054,-18.2258
1001055,-23.6063
1001056,-27.5218
1001057,-16.0036
1001058,-15.1441
1001059,-29.0376
1001060,-22.2393
1001061,-18.6781
1001062,-26.2621
1001063,-18.6276
1001064,-4.13265
1001065,-15.8614
1001066,-12.4106
1001067,-19.131
1001068,-9.08138
1001069,-27.0163
1001070,-22.4433
1001071,-14.1025
1001072,-15.2231
1001073,-28.0067
1001074,-18.064
1001075,-10.5723
1001076,-9.80542
1001077,-17.741
1001078,-8.94336
1001079,-13.7856
1001080,-18.8973
1001081,-2.67234
1001082,-14.4993
1001083,-20.9697
1001084,-16.7734
1001085,-17.9173
1001086,-8.01404
1001087,-19.9803
1001088,-18.2187
1001089,-14.4978
1001090,-17.8819
1001091,-6.07644
1001092,-11.137
1001093,-18.3147
1001094,-26.8572
1001095,-18.0279
1001096,-11.4468
1001097,-12.2213
1001098,-13.2366
1001099,-22.4835
1001100,-25.4731
1001101,-15.6483
1001102,-15.315
1001103,-16.7999
1001104,-18.4143
1001105,-14.1083
1001106,-9.28923
1001107,-15.2027
1001108,-21.149
1001109,-22.048
1001110,-21.9029
1001111,-18.5445
1001112,-8.8526
1001113,-19.9753
1001114,-18.0263
1001115,-15.4605
1001116,-26.8833
1001117,-16.3178
1001118,-19.9651
1001119,-18.1233
1001120,-15.3276
1001121,-21.2829
1001122,-18.1315
1001123,-13.6426
1001124,-16.7302
1001125,-19.5464
1001126,-22.5686
1001127,-25.1036
1001128,-14.0694
1001129,-17.6567
1001130,-9.16323
1001131,-11.0489
1001132,-7.39245
1001133,-19.427
1001134,-25.1468
1001135,-16.8307
1001136,-24.6181
1001137,-18.1389
1001138,-17.8785
1001139,-25.0401
1001140,-18.8218
1001141,-22.9716
1001142,-22.2342
1001143,-12.5768
1001144,-14.0167
1001145,-9.02697
1001146,-16.046
1001147,-13.2879
1001148,-17.9743
1001149,-20.3945
1001150,-20.3092
1001151,-18.6133
1001152,-26.2492
1001153,-12.4888
1001154,-23.3365
1001155,-11.6531
1001156,-24.9901
1001157,-16.3649
1001158,-16.857
1001159,-13.2023
1001160,-23.624
1001161,-12.8063
1001162,-9.36419
1001163,-14.026
1001164,-10.2041
1001165,-6.29365
1001166,-23.3714
1001167,-25.267
1001168,-26.1076
1001169,-10.824
1001170,-23.1875
1001171,-28.3575
1001172,-10.8303
1001173,-16.5555
1001174,-13.7501
1001175,-24.0791
1001176,-13.2488
1001177,-27.7153
1001178,-10.5435
1001179,-21.9088
1001180,-12.9654
1001181,-13.7663
1001182,-14.6061
1001183,-27.8739
1001184,-20.6575
1001185,-27.2413
1001186,-13.3132
1001187,-7.89931
1001188,-19.9227
1001189,-8.31267
1001190,-21.203
1001191,-15.2855
1001192,-15.6315
1001193,-30.1201
1001194,-16.8932
1001195,-26.7975
1001196,-21.9994
1001197,-19.6961
1001198,-15.4269
1001199,-11.0394
1001200,-16.7759
1001201,-20.9773
1001202,-9.86109
1001203,-12.8397
1001204,-19.9975
1001205,-11.3537
1001206,-19.6639
1001207,-23.3727
1001208,-13.2888
1001209,-8.4062
1001210,-22.8605
1001211,-16.1275
1001212,-22.7185
1001213,-9.15082
1001214,-12.547
1001215,-16.5906
1001216,-16.7113
1001217,-13.3393
1001218,-21.0568
1001219,-22.8591
1001220,-8.13308
1001221,-23.7765
1001222,-18.533
1001223,-17.191
1001224,-22.0476
1001225,-19.9799
1001226,-24.0729
1001227,-7.85203
1001228,-12.0851
1001229,-15.4862
1001230,-12.382
1001231,-17.6467
1001232,-24.3001
1001233,-20.3224
1001234,-17.4049
1001235,-13.1841
1001236,-21.6846
1001237,-15.6664
1001238,-16.2306
1001239,-8.89594
1001240,-18.2701
1001241,-23.4172
1001242,-21.5217
1001243,-9.16219
1001244,-10.0123
1001245,-16.0137
1001246,-18.8131
1001247,-17.6006
1001248,-19.446
1001249,-16.091
1001250,-14.1054
1001251,-21.6929
1001252,-18.7618
1001253,-17.0982
1001254,-26.273
1001255,-24.7001
1001256,-19.0015
1001257,-19.7855
1001258,-7.54602
1001259,-11.8678
1001260,-21.0151
1001261,-17.46
1001262,-23.8492
1001263,-23.1398
1001264,-12.1457
1001265,-10.5096
1001266,-22.713
1001267,-16.651
1001268,-24.152
1001269,-26.5131
1001270,-14.5069
1001271,-11.1879
1001272,-20.4404
1001273,-15.4111
1001274,-14.5117
1001275,-10.1813
1001276,-14.1365
1001277,-28.6939
1001278,-14.3954
1001279,-9.89718
1001280,-17.8355
1001281,-20.9691
1001282,-14.0269
1001283,-19.1838
1001284,-18.6627
1001285,-10.3138
1001286,-16.8338
1001287,-18.6678
1001288,-16.2833
1001289,-8.12001
1001290,-20.4723
1001291,-41.88
1001292,-27.4141
1001293,-15.0458
1001294,-16.9698
1001295,-19.9784
1001296,-21.6311
1001297,-11.9809
1001298,-11.9973
1001299,-19.1259
1001300,-23.6734
1001301,-13.2467
1001302,3.16327
1001303,-20.1134
1001304,-19.3786
1001305,-19.7931
1001306,-23.6606
1001307,-21.6512
1001308,-17.4713
1001309,-20.0196
1001310,-18.1606
1001311,-28.0181
1001312,-20.1803
1001313,-19.3826
1001314,-19.9869
1001315,-21.0406
1001316,-25.2084
1001317,-13.5055
1001318,-13.5628
1001319,-19.7117
1001320,-10.0809
1001321,-28.6519
1001322,-15.9978
1001323,-27.5768
1001324,2.26965
1001325,-18.9942
1001326,-22.5895
1001327,-7.98188
1001328,-16.5528
1001329,-26.9888
1001330,-17.9678
1001331,-22.7928
1001332,-26.8029
1001333,-32.9886
1001334,-27.5994
1001335,-18.132
1001336,-21.2317
1001337,-26.5621
1001338,-17.8405
1001339,-18.5143
1001340,-14.8901
1001341,-14.3397
1001342,-17.942
1001343,-17.5228
1001344,-4.33403
1001345,-10.4597
1001346,-16.5434
1001347,-11.43
1001348,-15.8147
1001349,-9.32699
1001350,-12.9285
1001351,-15.0785
1001352,-15.825
1001353,-25.3579
1001354,-25.1417
1001355,-18.7418
1001356,-23.4688
1001357,-18.9251
1001358,-19.1432
1001359,-11.164
1001360,-21.3911
1001361,-12.0609
1001362,-18.5445
1001363,-14.4663
1001364,-22.1239
1001365,-21.7597
1001366,-18.6922
1001367,-14.3525
1001368,-22.0202
1001369,-18.0587
1001370,-12.8586
1001371,-19.238
1001372,-18.8483
1001373,-15.6543
1001374,-8.82633
1001375,-22.5337
1001376,-12.4974
1001377,-12.2266
1001378,-20.2934
1001379,-22.1133
1001380,-24.0337
1001381,-17.8225
1001382,-15.3618
1001383,-22.4404
1001384,-13.9299
1001385,-16.3288
1001386,-20.3732
1001387,-20.1176
1001388,-30.8606
1001389,-19.7033
1001390,-14.0937
1001391,-15.9559
1001392,-15.3693
1001393,-23.6313
1001394,-20.2242
1001395,-15.5759
1001396,-20.4891
1001397,-15.4464
1001398,-15.6077
1001399,-17.2102
1001400,-20.8127
1001401,-21.7745
1001402,-15.9705
1001403,-16.7108
1001404,-22.6151
1001405,-16.2382
1001406,-13.9656
1001407,-17.6442
1001408,-17.4511
1001409,-17.847
