IID Py intercept R
1000237 1.91014 1 1
1000238 3.91769 1 1
1000239 5.93289 1 1
1000240 4.05988 1 1
1000241 -2.25646 1 1
1000242 -1.08007 1 1
1000243 0.109001 1 1
1000244 -11.0058 1 1
1000245 0.424907 1 1
1000246 -1.96697 1 1
1000247 8.58207 1 1
1000248 1.2293 1 1
1000249 -0.839615 1 1
1000250 -5.75463 1 1
1000251 1.58998 1 1
1000252 5.96568 1 1
1000253 -4.30933 1 1
1000254 0.0421893 1 1
1000255 1.96788 1 1
1000256 -10.5291 1 1
1000257 -7.90353 1 1
1000258 2.31379 1 1
1000259 -2.21809 1 1
1000260 -0.994118 1 1
1000261 0.312595 1 1
1000262 9.75773 1 1
1000263 1.62983 1 1
1000264 0.544917 1 1
1000265 -1.08793 1 1
1000266 -2.66418 1 1
1000267 0.194862 1 1
1000268 4.42521 1 1
1000269 2.6068 1 1
1000270 7.12452 1 1
1000271 3.79631 1 1
1000272 7.2622 1 1
1000273 -1.30297 1 1
1000274 -0.126441 1 1
1000275 4.30824 1 1
1000276 2.18917 1 1
1000277 0.591437 1 1
1000278 0.279171 1 1
1000279 -9.2818 1 1
1000280 -0.381973 1 1
1000281 0.418379 1 1
1000282 0.430237 1 1
1000283 -0.722556 1 1
1000284 8.71218 1 1
1000285 -0.490234 1 1
1000286 -5.90984 1 1
1000287 -5.13342 1 1
1000288 0.29209 1 1
1000289 2.03943 1 1
1000290 -0.345636 1 1
1000291 -3.72909 1 1
1000292 2.97965 1 1
1000293 -3.65375 1 1
1000294 -1.29442 1 1
1000295 -2.81023 1 1
1000296 -4.31544 1 1
1000297 -2.55337 1 1
1000298 -4.51901 1 1
1000299 4.54148 1 1
1000300 -5.55483 1 1
1000301 -5.60875 1 1
1000302 -3.55073 1 1
1000303 4.65428 1 1
1000304 -2.60603 1 1
1000305 3.31492 1 1
1000306 4.50809 1 1
1000307 -10.3385 1 1
1000308 -7.43784 1 1
1000309 -0.754078 1 1
1000310 5.79115 1 1
1000311 2.8883 1 1
1000312 -4.85474 1 1
1000313 -1.96741 1 1
1000314 -4.53262 1 1
1000315 -1.46024 1 1
1000316 8.40676 1 1
1000317 -3.77418 1 1
